Barrier Name,N,Seed,Completion Time (s),Negative Iterations,Circle Time (%),Ellipse Time (%),Triangle Time (%),Square Time (%)
elliptical,20,4,0.0,252,0.0,1.0,0.0,0.0
elliptical,20,5,0.0,170,0.0,1.0,0.0,0.0
square,4,1,10.659,0,0.0,0.0,0.0,1.0
square,4,2,21.648,0,0.0,0.0,0.0,1.0
square,4,3,0.0,0,0.0,0.0,0.0,1.0
square,4,4,18.546,0,0.0,0.0,0.0,1.0
square,4,5,0.0,0,0.0,0.0,0.0,1.0
square,8,1,18.810000000000002,0,0.0,0.0,0.0,1.0
square,8,2,31.944000000000003,0,0.0,0.0,0.0,1.0
square,8,3,24.354000000000003,0,0.0,0.0,0.0,1.0
square,8,4,18.777,0,0.0,0.0,0.0,1.0
square,8,5,30.525000000000002,0,0.0,0.0,0.0,1.0
square,11,1,0.0,0,0.0,0.0,0.0,1.0
square,11,2,0.0,0,0.0,0.0,0.0,1.0
square,11,3,37.521,0,0.0,0.0,0.0,1.0
square,11,4,0.0,0,0.0,0.0,0.0,1.0
square,11,5,22.803,0,0.0,0.0,0.0,1.0
square,16,1,0.0,0,0.0,0.0,0.0,1.0
square,16,2,0.0,0,0.0,0.0,0.0,1.0
square,16,3,0.0,0,0.0,0.0,0.0,1.0
square,16,4,0.0,0,0.0,0.0,0.0,1.0
square,16,5,0.0,0,0.0,0.0,0.0,1.0
square,20,1,0.0,0,0.0,0.0,0.0,1.0
square,20,2,0.0,0,0.0,0.0,0.0,1.0
square,20,3,0.0,0,0.0,0.0,0.0,1.0
square,20,4,196.812,0,0.0,0.0,0.0,1.0
square,20,5,0.0,0,0.0,0.0,0.0,1.0
triangle,4,1,10.659,0,0.0,0.0,1.0,0.0
triangle,4,2,18.612000000000002,0,0.0,0.0,1.0,0.0
triangle,4,3,168.56400000000002,0,0.0,0.0,1.0,0.0
triangle,4,4,17.589000000000002,0,0.0,0.0,1.0,0.0
triangle,4,5,133.61700000000002,0,0.0,0.0,1.0,0.0
triangle,8,1,17.589000000000002,0,0.0,0.0,1.0,0.0
triangle,8,2,21.78,0,0.0,0.0,1.0,0.0
triangle,8,3,20.493000000000002,0,0.0,0.0,1.0,0.0
triangle,8,4,15.642000000000001,0,0.0,0.0,1.0,0.0
triangle,8,5,21.516000000000002,0,0.0,0.0,1.0,0.0
triangle,11,1,25.839000000000002,0,0.0,0.0,1.0,0.0
triangle,11,2,96.129,0,0.0,0.0,1.0,0.0
triangle,11,3,15.246,0,0.0,0.0,1.0,0.0
triangle,11,4,83.061,0,0.0,0.0,1.0,0.0
triangle,11,5,16.533,0,0.0,0.0,1.0,0.0
triangle,16,1,0.0,0,0.0,0.0,1.0,0.0
triangle,16,2,0.0,0,0.0,0.0,1.0,0.0
triangle,16,3,0.0,0,0.0,0.0,1.0,0.0
triangle,16,4,0.0,0,0.0,0.0,1.0,0.0
triangle,16,5,0.0,0,0.0,0.0,1.0,0.0
triangle,20,1,0.0,0,0.0,0.0,1.0,0.0
triangle,20,2,0.0,0,0.0,0.0,1.0,0.0
triangle,20,3,41.514,0,0.0,0.0,1.0,0.0
triangle,20,4,0.0,0,0.0,0.0,1.0,0.0
triangle,20,5,0.0,0,0.0,0.0,1.0,0.0
delta(circular-elliptical),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(circular-elliptical),4,2,19.107,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),4,3,36.069,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),4,4,19.668,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),4,5,39.633,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),8,1,20.922,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),8,2,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),8,3,22.671,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),8,4,18.282,0,0.0,0.0,0.0,0.0
